Comment,Sentiment,Toxicity,ambiguity_flag
Rất văn hoá,1,0,0
Cảm ơn các y bác sĩ,1,0,0
"Rất nguy hiểm nếu không quản lý tôt nguồn gốc thục phẩm, cần phải có thanh tra nguồn gốc thực phẩm cam kết từ nơi sản xuất tránh những trường hợp vì lợi nhuận mà làm liều coi thường sức khỏe cac con.Nếu nhiễm độc cao còn phát hiện được sớmMong rằng các cơ quan chức năng sat sao vì tương lai con em chúng ta.",-1,0,0
Trong mắt tôi cậu là Hero!,1,0,0
"Lao động ở đây chỉ có Ấn và Việt Nam là tiềm năng, dời về nước làm chi, qua việt nam cho gần",1,0,0
"Phải sống chung với dịch thôi, đóng đến bao giờ nữa. Ủng hộ mở đường bay quốc tế.",1,0,0
Mở bay quốc tế thì không thể tránh khỏi làn sóng covid lần thứ ba. Thật,0,0,0
Vẽ hẳn cái đầu lâu xương chéo lên biển rồi mà mấy anh này còn không sợ,0,0,0
"Nói xin lỗi chứ chắc năm nay đ/c không có con học lớp 1. Chứ đc có con học lớp 1 xem đ/c có phát biểu kiểu đó không. Tôi thách đ/c dạy con mà không áp lực đấy, xem con nó tiếp thu khó hay dễ. Không nặng nhưng có quá nhiều điều vô lý hoặc không cần thiết bắt một đứa trẻ đang bắt đầu học chữ phải hiểu, phải biết.",-1,0,0
"Ông này cực kỳ có duyên với cup. Ronaldo, kaka, Benzema, macelo đến real. Suốt 5 năm k biết tới cup. Từ khi bale đến có cup nhà vua và C1",0,0,0
Nghe mấy thánh Toy chê BM khủng khiếp mà 219 ở TQ vẫn bán được 174.000 ch ah,-1,0,0
"Thời gian vừa qua rất nhiều người nói là nhân viên của Ngân hàng gọi điện thoại cho tôi nói là có nhu cầu vay vốn không và yêu cầu cấp mã số gửi đến điện thoại. Tôi nói là không có nhu cầu vay và không cung cấp thông tin gì. Mình đề phòng trước là lừa đảo rồi, giờ đọc tin này thấy lừa đảo thật.",0,0,1
"Tôi mua căn hộ quận 9 3 năm nay mà vẫn dài cổ đợi sổ hồng. Mong thành phố sớm xử lý nhanh, dứt điểm để tạo điều kiện cho người dân sớm có sổ cũng như các chủ đầu tư an tâm...",1,0,0
Thích cái cô mũm mĩm ngày xưa,1,0,0
"tiêu chuẩn của nhiều nước bên châu âu là lúc bơi bắt buộc phải có nhân viên cứu hộ, ngay cả cho những người đã biết bơi, và hồ thiên nhiên hay nhân tạo. Các ao nước không có kiểm soát cần phải rào lại. VN cũng nên làm như vậy mới tránh được những thảm họa này trong tương lai.",-1,0,0
"chẳng có gì là bất bình đẳng cả, họ là những người rất giỏi họ kiếm tiền bằng chính khả năng của họ",-1,0,0
"Hồi ăn gà của Lotte bị bở và hôi sau ba lần, thì ko quay lại hãng này nữa",0,0,0
Ro lại ghi bàn rồi các bạn fan Si ạ ! Cảm ơn các bạn đã quan trâm Ro nhưng bây giờ thì đừng so sánh Ro với Si nữa. nó khập khiễng lắm. Người ta đương kim vô địch 2 giải đấu đội tuyển và CLB. Ông vua ghi 101 bàn vân vân và mây mây. nên các bạn hãy so sánh ai đấy trắng tay mùa này ví dụ như Pogba chẳng hạn,1,0,0
"Bào ngư VN đỏ đỏ tím tím, nhỏ nhưng ăn rất ngon",1,0,0
Sự VĨ ĐẠI của TỰ NHIÊN!,1,0,0
"Chúng ta phải luôn trong tư thế phòng dịch hiệu qủa nhất, không để dịch bùng phát đợt 3 !!!",0,0,0
Fan Liver nhưng chúc mừng Asenal. Leno bay như chim vậy.,1,0,0
"Trứng kho để qua ngày ăn lại dễ bị ngộ độc, mình đã từng bị một lần rồi.",0,0,0
"Fans anh 23 năm rồi, tôi thấy chẳng có bài nào mà không hay, không đi vào lòng người, Nhạc trẻ, dân ca, rồi Bolero thể loại nào anh cũng cân tất",0,0,0
Quá yếu kém .xem Tq và Nga kìa. Đã du hành liên hành tinh. Lên mặt trăng như đi chợ và giờ lên cả sao hỏa.,-1,0,0
Cảm ơn cảm ơn...,1,0,0
"Sài Gòn về Đà Nẵng ngày thường vé máy bay 600.000 đồng, chỉ vài giờ là có mặt ở nhà. Đi xe, từ nhà đi taxi ra bến xe hết 300.000 + giá vé 400.000 nữa.... Dạ, em đi máy bay cho khỏe ạ.",0,0,0
bây giờ ăn đồ đen lại là một trào lưu,0,0,0
"Cái gì lạ thì ăn thử thôi chứ ngon lành gì. Năm 9x ở xã mình ng ta toàn xay con Sam ra cho heo ăn, giờ vào quán nhậu gần 1tr 1 kg.",1,0,0
Trump là một vi tổng thống tuyệt với nhất nước Mỹ.,0,0,0
Không nên làm phố đi bộ ở đường Hàm Nghi và Lê Lợi. Các đường còn lại hợp lý! Cám ơn!,0,0,0
Theo tôi bạn cứ gửi tiết kiệm đi.,0,0,0
Một đất nước còn nhiều hủ tục lạc hậu kinh khủng.Phụ nữ nên phải học lớp tự vệ bắt buộc để tránh điều đáng tiếc xảy ra.Thật đáng thương cho những người phụ nữ.,0,0,1
Phải chăng chế tài xử phạt còn quá nhẹ. Haiz nhiều bạn trẻ bây giờ ngông quá.,0,0,0
