Comment,Sentiment,Toxicity,ambiguity_flag
Thật tuyệt vời...!!!,1,0,0
Coi dịch là giặc. Đã mang tên đó mà xâm nhập VN thì phải đầu hàng hoặc cút xéo. VN luôn tự hào!,-1,2,0
Angelina Jolie có đôi bàn tay nổi gân guốc quá!,0,0,1
Không trung sẽ không còn yên tĩnh,0,0,1
"Mình học đại học bên Mỹ mà nhiều khi giáo sư còn dặn chỉ được lôi điện thoại hay laptop để ghi chép thôi đó. Suốt mấy năm mình chỉ dùng điện thoại để chụp hình bài giảng nếu ghi không kịp hay thu âm cái gì quan trọng. Sau giờ học thì dĩ nhiên là phải dùng máy móc các thứ để làm bài, nhưng trong giờ giảng thì vẫn học theo cách truyền thống thôi. Cho học sinh dùng máy vi tính với những môn đặc biệt hay để thuyết trình thì nghe còn có lí. Chưa kể học sinh mà dùng điện thoại thì chuyện quay/chụp lén sẽ rất khó kiểm soát.",1,0,0
Messi vẫn chơi hay nhất trận.,1,0,0
Kia - Soluto thì thiếu tí tẹo.,0,0,1
Thích vụ ko tạo scandal!,0,0,1
Rất hay,1,0,1
"Nhập một két nước 24 chai có 60 ngàn tính ra có 2.500 đ/chai. Trong khi bao nhiêu lượt vận chuyển, bôc vác và lưu kho, thật sự không biết nước đó bổ béo gì không mà thanh niên uống ngày mấy chai",0,0,1
"Bàn tay nhanh nhẹn quá, chúc mừng chú, gia đình là quan trọng nhất",1,0,0
Sĩ quan này rất thẳng thắn và mạnh mẽ. Tôi hy vọng Biden sẽ trở thành tân tổng thống của Hoa Kỳ,0,0,1
Lần đầu tiên quê hương Ninh Bình của mình có thí sinh vào chung kết. Chúc cháu thành công mang vinh quang về,0,0,1
Vậy mà ở London thì người dân lại biểu tình đòi tháo khẩu trang ra.,0,0,1
"Quê hương đất Quảng rất tự hào và kiên cường trong mọi thời kỳ, sinh ra những anh kiệt làm rạng rỡ đất Việt. Cảm ơn các tác giả.",1,0,0
"ngoại ngữ như tiếng mẹ đẻ thôi,",0,0,1
Mấy kiểu này ở Việt Nam bán lâu rồi,0,0,1
"Không phải nặng,chỉ đơn giản các bé không học trước lớp 1 thì sẽ không học kịp nổi chương trình mà thôi",0,0,1
"Khả năng bên trong lõi mặt trời có sự sống cấp cao? ngược lại với trái đất, trong lõi của mặt trời lại rất át mẻ",0,0,1
Lành bệnh cố gắng kiếp việc an toàn làm kiếm tiền nhé anh chị. Hãy nhớ con cái thà chịu gd thiếu thốn vật chất chứ các con không chịu cảnh thiếu thốn cha - mẹ đâu.,0,0,1
Đề nghị các bác trả lại tên cho em là Trái Nước nhá.......,0,0,1
"Em cũng đang phân vân kona bản đặc biệt và seltos 1.4 pre. So vớii kona e thấy seltos thiếu phanh BA, hệ thống chống trượt thân xe, hỗ trợ xuống dốc, cảnh báo điểm mù và cảm biến áp xuất lốp. Toàn công nghệ an toàn mà Thaco lại cắt đi.",0,0,1
Cá to quá nên thả nó về tự nhiên đi anh.,0,0,1
Chuyện ly kỳ..!,0,0,1
"accent cụ nhé. Nhìn xe kiểu Châu âu, dáng đẹp, công nghệ tốt",1,1,0
Cứ VIOS mà múc bác. Toyota number one. Rất đẳng cấp. ,0,0,1
"Khi bạn là cá sấu nước mặn nhưng sống chung và chơi chung hội với cá heo quá lâu thành ra thế, hết biết, điều này cho thấy bạn bè ảnh hưởng đến bạn ra sao ?!",0,0,1
Định nghĩa diện tích là một nửa tích của chiều cao và chiều dài cạnh đáy.,0,0,1
Cảm ơn vì 1 bài viết quá chất lượng,1,0,0
"Tôi cũng đã từng chỉ nặng 45 46kg triền miên gần 10 năm, sau hơn 2 năm tập gym giờ đã đc 60kg. Tự tin hơn rất nhiều, đây là 1 môm thể thao cải thiện vẻ ngoài rất tốt.",1,0,0
Ngoài clb HN thấy chuyên nghiệp. Phần còn lại thấy như giải bóng đá phố huyện.,0,0,1
"1. Mới tiêm 7/9 đến 16 lại tiêm, có gần quá không?2. Vaccin có bị gì không ?3. Bỏ một ngày tiêm phòng mà lo cho con sao lại đem gởi sớm thế, cơ sở này thế nào ?4. Phản ứng của tiêm phòng không nhất thiết phải 30 phút, vì tùy theo thể trạng của các bé có thể cả ngày mới phản ứng thuốc...5. Buồn !!!!!",-1,1,0
Không bán vàng chị ơi. Vàng tăng trong 3 năm tới sẽ gấp đôi tài sản. Sau 3 năm nữa bán là ok.,0,0,1
"Trận hôm quá hay thật, tiến lên Barca.",1,0,0
Làm sao các cô phản ứng kịp.,0,0,1
"Cám ơn các anh, cám ơn sự hỗ trợ của người dân! Xem clip thấy hồi hộp quá chỉ lo bên trong xe nó bắn trả.",1,0,0
Mình tập vầy:- Đi bộ 2p- chạy 5p- đi bộ 2pxong là hết xí quách!,0,0,1
Cầu mong ông sớm khỏe mạnh,0,0,1
Con ruột mình sinh ra mà vẫn chưa đc vầy...thật ngưỡng mộ anh Cường,1,0,0
"Ráng đợi thêm 1 năm tích góp thêm mua con Mazda 2 sedan mà chạy bạn. Chứ lấy mấy con i10, fadi thì giải pháp tức thời mua con m2 bạn còn đi xa đc, thậm chí sau này có bạn gái hoặc vợ con thì gq ra sao.... ở Việt Nam! Mua chiếc xe hơi đã khó mà sự lựa chọn chiếc xe hợp lý còn khó hơn.",1,0,0
"Là cha mẹ, ai cũng muốn cho con mình học giỏi, thành công trên con đường học vấn, để có việc làm tốt. Mình cũng vậy, mình thừa nhận mình không phải là thánh để nói rằng mình không bao giờ ép con học giỏi. Lúc trước, khi con học lớp 1, lớp 2 mình cũng muốn con học giỏi, bắt con học đủ thứ. Nhưng sau đó sang định cư ở Châu Âu rồi, tư tưởng mình đã thay đổi, không còn ép con học giỏi, không bắt buộc con học gì nữa. Giờ đây, con đã từng bước trưởng thành, tự chọn hướng đi mà con yêu thích. Mình thấy con vui vẻ với sự lựa chọn đó. Nếu còn ở VN, chắc mình vẫn bị rơi vào vòng xoáy ép con học và làm theo ý mình muốn rồi. Vì môi trường sống mỗi nơi mỗi khác.",1,0,0
Một cách giải quyết vấn đề rất hay. Vừa làm được việc nhà vừa thỏa đam mê và học được bài học kiếm tiền.,1,0,0
"Đề nghị cơ quan chúc năng phải xử lý rất nặng ng này với hành vi ngang nhiên bạo hành trẻ em ,dư luận xã hội rất phẫn nộ về hành vi này ngay trong trường học ,trước mặt các cháu trẻ thơ .Cũng cần xử lý ba cô giáo ở trường này.",-1,0,0
nghe có vẻ căng nhỉ,0,0,1
